Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
63,"BĚLÍK, V.",Povídání z Horácka.,,Kniha,1956,1956,Rouchovany TR,,"Havlíčkův Brod: Krajské nakladatelství, 1956.",Excely
64,"BENEŠOVÁ, H.",Slovní zásoba obce Čebína.,,Studentská práce,1971,1971,Čebín BO,,"Brno, 1971.",Bara
65,"BERÁNKOVÁ, E.",Nářečí Šumburku nad Desnou (a přilehlých osad).,,Studentská práce,1960,1960,Tanvald JN (Šumburk nad Desnou),,"Praha, 1960.",Excely
66,"BERÁNKOVÁ, H. a B. RYCHLÍK, eds.",Javorník 650.,,Kniha,2000,1951,Javorník HO,,"Brno: Větrné mlýny, 2000, s. 17–28, 32–42, 74–75, 89–90, 93, 100–101, 107, 110–111, 116. ISBN 80-86151-41-7.",Texty a slovníky
67,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1961,1961,Mrákov DO,,1961.,Bara
68,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1963,1963,Mrákov DO,,1963.,Bara
69,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1964,1964,Mrákov DO,,1964.,Bara
70,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1965,1965,Mrákov DO,,1965.,Bara
71,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1966,1966,Mrákov DO,,1966.,Bara
72,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1967,1967,Mrákov DO,,1967.,Bara
73,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1968,1968,Mrákov DO,,1968.,Bara
74,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1969,1969,Mrákov DO,,1969.,Bara
75,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1970,1970,Mrákov DO,,1970.,Bara
76,"BÍLKOVÁ, M.",Mrákov DO.,,Excerpta,1972,1972,Mrákov DO,,1972.,Bara
77,"BÍLKOVÁ, P.",Nářeční slovní zásoba v obci Olešnice se zaměřením na řemeslnickou terminologii.,,Studentská práce,2010,2010,Olešnice BK,,"Brno, 2010.",Excely
78,"BÍZEK, F.",Zálezly PT.,,Excerpta,1961,1961,Zálezly PT,,1961.,Bara
